Constituency,Area,Total Candidates,Party Tickets,Key Candidates
GBA-1,Gilgit-I,18,"PML-N, PPP, PTI","Amjad Hussain Advocate, Ubaid Ullah Baig, Khalid Khurshid, Muhammad Ibrahim Sanai, Col (R) Ubaid Ullah Baig..."
GBA-10,Skardu-IV,13,"AWP, IPP, ITP, PML-N, PNP, PPP","Shaban Ali, Safdar Ali, Alam Noor, Mushtaq Hussain, Muhammad Khan Wazir..."
GBA-11,Kharmang,11,"ITP, PML-N, PPP","Iqbal Hassan, Syed Mohsin Rizvi, Syed Amjad Ali, Syed Mohsin Zaidi, Syed Minhas Zaidi..."
GBA-12,Shigar,10,"ITP, MWM, PML-N, PPP","Raja Azam Khan, Imran Nadeem, Muhammad Tahir Inhar Shigri, Hassan Shigri, Abdi Ali..."
GBA-13,Astore-I,13,"IPP, PML-N, PPP","Sami Ullah, Shahida Khursheed, Ghulam Abbas, Fahad Haneef, Farman Ali..."
GBA-14,Astore-II,33,"IPP, PAT, PML-J, PML-Q, PNP, PPP, SIC, TLP, TTP","Azam Tariq, Inam Ullah, Aurangzaib, Barkat Jamil, Tuaraf Hussain..."
GBA-15,Diamer-I,20,"IPP, JUI-F, PML-N, PML-Q, PNP, PPP","Amin Ullah, Aurangzaib, Aameen, Bashir Ahmad Khan, Bashir Ahmad Mughal..."
GBA-16,Diamer-II,18,"IPP, PML-N, PPP","Engineer Muhammad Anwar, Imam Malik, Basharat Ullah, Hazrat Bilal, Saif Ullah..."
GBA-17,Diamer-III,21,"JUI-F, PML-N, PPP, PTI","Aisar Ahmad, Haji Kaman Khan, Raj Alam, Rehmat Khaliq, Sadar Alam..."
GBA-18,Diamer-IV,10,"IPP, JUI-F, PML-N","Parveen Bano, Sobia Jabain, Raja, Shafayat Ur Rehman, Sher Azam..."
GBA-19,Ghizer-I,19,"JUI-F, PBP, PML-N, PML-Q, PPP, PRHP, PTI","Nawaz Khan Naji, Syed Jallal Ali Shah, Shakeel Ahmed, Zaffar Mohammad, Asghar Khan..."
GBA-2,Gilgit-II,20,"IPP, PPP, PTI","Jamil Ahmed, Fatehullah Khan, Haji Shah Baig, Khalid Khurshid, Amjad Hussain..."
GBA-20,Ghizer-II,17,"IPP, JIP, JUI-F, PML-N, PML-Q, PNP, PPP","Islam Uddin, Bakhtawar Shah, Khan Akbar Khan, Khush Baig, Syed Ikram ul Haq..."
GBA-21,Ghizer-III,20,"ANP, AWP, IPP, JUI-F, MQMP, PML-N, PML-Q, PPP","Aman Ali, Afsar Khan, Bahar Ali, Tajwar Hussain, Jameela Khatoon..."
GBA-22,Ghanche-I,7,"IPP, PML-N, PPP","Ibrahim, Raza ul Haq, Shakoor Ali, Ashiq Hussain, Mubashir Hussain..."
GBA-23,Ghanche-II,10,"JIP, PPP","Asif Hussain, Amina Bibi, Anwar Ali, Zakir Hussain, Rehmat Ullah..."
GBA-24,Ghanche-III,5,"PML-N, PML-Q, PPP, PTI","Engineer Muhammad Ismail, Syed Shamsuddin, Muhammad Ibrahim Tabbasum, Manzoor Hussain, Abideen Rahi"
GBA-3,Gilgit-III,9,"PML-N, PPP, PTI","Syed Sohail Abbas, Muhammad Ismail, Dr. Muhammad Iqbal, Shamsuddin, Raja Azam Khan Amacha..."
GBA-4,Nagar-I,18,"ITP, PML-N, PPP, PTI","Muhammad Ali Akhtar, Imtiaz Hussain, Zulfiqar Ali Behashti, Muhammad Ayub, Amjad Hussain Advocate..."
GBA-5,Nagar-II,29,"APML, ITP, MWM, PML-N, PML-Q, PPP","Abdul Karim, Abid Hussain, Anbar Hussain, Azhar Hussain Manwa, Ijaz Hussain..."
GBA-6,Hunza-I,27,"AWP, IPP, MQMP, PML-N, PNP, PPP","Asif Saeed, Imtiaz Ul Haq, Eman Shah, Prince Saleem Khan, Haidar Ali..."
GBA-7,Skardu-I,9,"IPP, PML-N, PPP","Asad Ali, Raja Jallal Hussain Khan, Raja Zakariya Khan Maqpoon, Syed Tauqeer Mehdi, Syed Muhammad..."
GBA-8,Skardu-II,14,"ITP, MWM, PML-N, PML-Q, PNP, PPP","Imtiaz Haidar Khan, Ejaz Hussain, Zulfiqar Ali, Syed Muhammad Ali Shah, Shujaat Hussain..."
GBA-9,Skardu-III,4,"PPP, PTI","Wazir Mohammad Saleem, Fida Muhammad Nashad, Wazeer Waqar Ali, Manzoor Ahmad"
