constituency_id,name,district
GBA-1,Gilgit I,Gilgit
GBA-2,Gilgit II,Gilgit
GBA-3,Gilgit III,Gilgit
GBA-4,Nagar I,Nagar
GBA-5,Nagar II,Nagar
GBA-6,Hunza,Hunza
GBA-7,Skardu I,Skardu
GBA-8,Skardu II,Skardu
GBA-9,Skardu III,Skardu
GBA-10,Skardu IV,Skardu
GBA-11,Kharmang,Kharmang
GBA-12,Shigar,Shigar
GBA-13,Astore I,Astore
GBA-14,Astore II,Astore
GBA-15,Diamer I,Diamer
GBA-16,Diamer II,Diamer
GBA-17,Diamer III,Diamer
GBA-18,Diamer IV,Diamer
GBA-19,Ghizer I,Ghizer
GBA-20,Ghizer II,Ghizer
GBA-21,Ghizer III,Ghizer
GBA-22,Ghanche I,Ghanche
GBA-23,Ghanche II,Ghanche
GBA-24,Ghanche III,Ghanche
