candidate_id,constituency_id,election_year,district,party,candidate_name,incumbent_running,party_switch_flag,prior_vote_share,prior_winner_party_match,prior_margin,candidate_continuity_score,prior_vote_share_same_constituency,prior_rank_same_constituency,party_constituency_recent_share,winner_party_continuity,prior_winner_party,vote_share_pct_imputed,won,district_Astore,district_Diamer,district_Ghanche,district_Ghizer,district_Gilgit,district_Hunza,district_Kharmang,district_Nagar,district_Shigar,district_Skardu
raziuddin-rizvi,GBA-1,2009,Gilgit,Independent,Syed Raziuddin Rizvi,0,0,,0,,0,,,,0,,True,1,0,0,0,0,1,0,0,0,0,0
jafarullah-khan,GBA-1,2015,Gilgit,PML-N,Jafarullah Khan,0,0,,0,,0,,,,0,Independent,False,1,0,0,0,0,1,0,0,0,0,0
amjad-hussain-azar,GBA-1,2015,Gilgit,PPP,Amjad Hussain Azar,0,0,,0,,0,,,,0,Independent,False,0,0,0,0,0,1,0,0,0,0,0
nizam-ud-din-shah,GBA-1,2015,Gilgit,Independent,Syed Nizam Ud Din Shah,0,0,,1,,0,,,100.0,0,Independent,False,0,0,0,0,0,1,0,0,0,0,0
muhammad-ilyas-siddiqui,GBA-1,2015,Gilgit,MWM,Muhammad Ilyas Siddiqui,0,0,,0,,0,,,,0,Independent,False,0,0,0,0,0,1,0,0,0,0,0
amjad-hussain-azar,GBA-1,2020,Gilgit,PPP,Amjad Hussain Azar,0,0,31.96,0,4.43,1,31.96,2.0,31.96,0,PML-N,True,1,0,0,0,0,1,0,0,0,0,0
sultan-rais,GBA-1,2020,Gilgit,Independent,Maulana Sultan Rais,0,0,,0,4.43,0,,,55.795,0,PML-N,True,0,0,0,0,0,1,0,0,0,0,0
johar-ali,GBA-1,2020,Gilgit,PTI,Johar Ali,0,0,,0,4.43,0,,,,0,PML-N,True,0,0,0,0,0,1,0,0,0,0,0
jafarullah-khan,GBA-1,2020,Gilgit,PML-N,Jafarullah Khan,1,0,36.39,1,4.43,1,36.39,1.0,36.39,0,PML-N,True,0,0,0,0,0,1,0,0,0,0,0
wazir-hussain,GBA-10,2009,Skardu,PPP,Wazir Hussain,0,0,,0,,0,,,,0,,True,1,0,0,0,0,0,0,0,0,0,1
capt-r-sikander,GBA-10,2015,Skardu,ITP,Capt. (r) Sikander,0,0,,0,,0,,,,0,PPP,False,1,0,0,0,0,0,0,0,0,0,1
nasir-ali-khan,GBA-10,2015,Skardu,MWM,Raja Nasir Ali Khan,0,0,,0,,0,,,,0,PPP,False,0,0,0,0,0,0,0,0,0,0,1
wazir-hassan,GBA-10,2015,Skardu,PPP,Wazir Hassan,0,0,,1,,0,,,100.0,0,PPP,False,0,0,0,0,0,0,0,0,0,0,1
ghulam-abbas,GBA-10,2015,Skardu,PML-N,Ghulam Abbas,0,0,,0,,0,,,,0,PPP,False,0,0,0,0,0,0,0,0,0,0,1
manzoor-hussain,GBA-10,2015,Skardu,Independent,Manzoor Hussain,0,0,,0,,0,,,,0,PPP,False,0,0,0,0,0,0,0,0,0,0,1
jalil-haider,GBA-10,2015,Skardu,Independent,Jalil Haider,0,0,,0,,0,,,,0,PPP,False,0,0,0,0,0,0,0,0,0,0,1
ali-hassan,GBA-10,2015,Skardu,MQM,Ali Hassan,0,0,,0,,0,,,,0,PPP,False,0,0,0,0,0,0,0,0,0,0,1
najaf-ali,GBA-10,2015,Skardu,PTI,Najaf Ali,0,0,,0,,0,,,,0,PPP,False,0,0,0,0,0,0,0,0,0,0,1
abbas-almosvi,GBA-10,2015,Skardu,APML,Syed Abbas Almosvi,0,0,,0,,0,,,,0,PPP,False,0,0,0,0,0,0,0,0,0,0,1
