party_id,display_name
PPP,Pakistan Peoples Party
PML-N,Pakistan Muslim League (N)
PTI,Pakistan Tehreek-e-Insaf
MWM,Majlis Wahdat-e-Muslimeen
ITP,Islami Tehreek Pakistan
JUI-F,Jamiat Ulema-e-Islam (F)
JI,Jamaat-e-Islami
BNF-N,Balawaristan National Front (Naji)
PML-Q,Pakistan Muslim League (Q)
PML,Pakistan Muslim League (faction unspecified)
MQM,Muttahida Qaumi Movement
APML,All Pakistan Muslim League
PAT,Pakistan Awami Tehreek
PSP,Pak Sarzameen Party
AWP,Awami Workers Party
TLP,Tehreek-e-Labbaik Pakistan
ANP,Awami National Party
Independent,Independent
