constituency_id,constituency_number,area_name,candidate_name,party_short,party_full,party_flag_file,party_flag_url,party_color_hex,party_election_symbol
GBA-1,1,Gilgit-I,Amjad Hussain,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-2,2,Gilgit-II,Jameel Ahmed,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-3,3,Gilgit-III,Dr. Muhammad Iqbal,PML-N,Pakistan Muslim League (N),/flags/pml-n.png,https://www.gbelections.com/flags/pml-n.png,#15803d,Tiger
GBA-4,4,Nagar-I,M. Ali Akhter,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-5,5,Nagar-II,Zulfiqar Ali Murad,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-6,6,Hunza-I,Col Imtiaz ul Haq,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-7,7,Skardu-I,Syed Tauqeer Mehdi Shah,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-8,8,Skardu-II,M. Kazim Masum,MWM,Majlis Wahdat-e-Muslimeen,/flags/mwm.png,https://www.gbelections.com/flags/mwm.png,#1d4ed8,Tent
GBA-9,9,Skardu-III,Fida M Nashad,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-10,10,Skardu-IV,Wazir Hassan,PML-N,Pakistan Muslim League (N),/flags/pml-n.png,https://www.gbelections.com/flags/pml-n.png,#15803d,Tiger
GBA-11,11,Skardu-V,Amjad Zadi,ITP,Islami Tehreek Pakistan,/flags/itp.png,https://www.gbelections.com/flags/itp.png,#6d28d9,Two Swords
GBA-12,12,Shigar,Imran Nadeem,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-13,13,Astore-I,Maj Fahad Haneef,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-14,14,Astore-II,Shamul Haq Lone,IPP,Istehkam-e-Pakistan Party,/flags/ipp.png,https://www.gbelections.com/flags/ipp.png,#0369a1,Eagle
GBA-15,15,Diamer-I,M. Dilpazir,Independent,Independent,/flags/independent.png,https://www.gbelections.com/flags/independent.png,#64748b,per candidate
GBA-16,16,Diamer-II,Atiqullah,IPP,Istehkam-e-Pakistan Party,/flags/ipp.png,https://www.gbelections.com/flags/ipp.png,#0369a1,Eagle
GBA-17,17,Diamer-III,Muhammad Naseem,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-18,18,Diamer-IV,Gulbar Khan,IPP,Istehkam-e-Pakistan Party,/flags/ipp.png,https://www.gbelections.com/flags/ipp.png,#0369a1,Eagle
GBA-19,19,Ghizer-I,S. Jalal Ali Shah,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-20,20,Ghizer-II,Abdul Jahan,PML-N,Pakistan Muslim League (N),/flags/pml-n.png,https://www.gbelections.com/flags/pml-n.png,#15803d,Tiger
GBA-21,21,Ghizer-III,Ayoub Shah,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-22,22,Ghanche-I,Ashiq Hussain,PPP,Pakistan Peoples Party,/flags/ppp.png,https://www.gbelections.com/flags/ppp.png,#b91c1c,Arrow
GBA-23,23,Ghanche-II,Seth Anwar,Independent,Independent,/flags/independent.png,https://www.gbelections.com/flags/independent.png,#64748b,per candidate
GBA-24,24,Ghanche-III,Dr Asad Shafiq,Independent,Independent,/flags/independent.png,https://www.gbelections.com/flags/independent.png,#64748b,per candidate
