constituency_id,election_year,rank,candidate_name,party,votes,vote_share_pct,won,source_url,fetched_at
GBA-1,2020,1,Amjad Hussain Azar,PPP,11178,,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-1,2020,2,Sultan Rais,IND,8356,,False,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-2,2020,1,Fatehullah Khan,PTI,6698,27.16,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-2,2020,2,Jamil Ahmed,PPP,6694,27.14,False,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-3,2020,1,Syed Sohail Abbas Shah,PTI,6873,,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-3,2020,2,Muhammad Iqbal,IND,4678,,False,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-4,2020,1,Amjad Hussain Azar,PPP,4716,,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-4,2020,2,Muhammad Ayub,ITP,4291,,False,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-5,2020,1,Javed Ali Manwa,IND,2570,,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-5,2020,2,Rizwan Ali,MWM,1850,,False,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-6,2020,1,Abaid Ullah Baig,PTI,5710,,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-6,2020,2,Noor Muhammad,IND,4683,,False,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-7,2020,1,Raja Muhammad Zakaria Khan Maqpoon,PTI,5565,,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-7,2020,2,Syed Mehdi Shah,PPP,4113,,False,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-8,2020,1,Muhammad Kazim Maisam,MWM,7842,35.35,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-8,2020,2,Syed M. Ali Shah,PPP,6904,31.12,False,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-9,2020,1,Wazir Muhammad Saleem,IND,6286,,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-9,2020,2,Fida Muhammad Nashad,PTI,5187,,False,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-10,2020,1,Raja Nasir Ali Khan Maqpoon,IND,4811,27.18,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-10,2020,2,Wazir Hassan,PTI,3439,19.43,False,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
GBA-11,2020,1,Syed Amjad Ali Zaidi,PTI,5733,,True,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached
