constituency_id,election_year,rank,candidate_name,party,votes,vote_share_pct,won,source_url,fetched_at
GBA-1,2009,1,Syed Raziuddin Rizvi,Independent,10012,,True,https://en.wikipedia.org/wiki/GBA-1_Gilgit-I,cached
GBA-1,2015,1,Jafarullah Khan,Pakistan Muslim League (N),7171,36.39,True,https://en.wikipedia.org/wiki/GBA-1_Gilgit-I,cached
GBA-1,2015,2,Amjad Hussain Azar,Pakistan Peoples Party,6297,31.96,False,https://en.wikipedia.org/wiki/GBA-1_Gilgit-I,cached
GBA-1,2015,3,Syed Nizam Ud Din Shah,Independent,2285,11.59,False,https://en.wikipedia.org/wiki/GBA-1_Gilgit-I,cached
GBA-1,2015,4,Muhammad Ilyas Siddiqui,Majlis-e-Wahdat-e-Muslimeen,2109,10.7,False,https://en.wikipedia.org/wiki/GBA-1_Gilgit-I,cached
GBA-1,2020,1,Amjad Hussain Azar,Pakistan Peoples Party,11178,,True,https://en.wikipedia.org/wiki/GBA-1_Gilgit-I,cached
GBA-1,2020,2,Maulana Sultan Rais,Independent,8356,,False,https://en.wikipedia.org/wiki/GBA-1_Gilgit-I,cached
GBA-1,2020,3,Johar Ali,Pakistan Tehreek-e-Insaf,2000,,False,https://en.wikipedia.org/wiki/GBA-1_Gilgit-I,cached
GBA-1,2020,4,Jafarullah Khan,Pakistan Muslim League (N),85,,False,https://en.wikipedia.org/wiki/GBA-1_Gilgit-I,cached
GBA-2,2009,1,Deedar Ali,Independent,5486,25.34,True,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2009,2,Jamil Ahmad,PPPP,4782,22.09,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2009,3,Hafiz Hafeezur Rehman,PML-N,4563,21.08,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2009,4,Muhammad Aslam,PML (Q),2180,10.07,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2009,5,Altaf Hussain,MQM,281,1.27,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,1,Hafiz Hafeez Ur Rehman,PML-N,10739,48.29,True,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,2,Jamil Ahmad,PPPP,7176,32.27,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,3,Fatehullah Khan,PTI,2561,11.51,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,4,Habib Ur Rehman,JI,844,3.79,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,5,Faqeer Shah,Independent,683,3.62,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,6,Karim Khan,APML,583,2.62,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,7,Tariq Hussain,MQM,278,1.25,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,8,Parveen Ghazi,Independent,16,0.07,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,9,Muhammad Mazhar Abbas,MWM,8,0.03,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,10,Shukat Alam,PAT,3,0.01,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2015,11,Moulana Mujahid,JUI-F,1,0.0,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2020,1,Fatehullah Khan,Pakistan Tehreek-e-Insaf,6860,,True,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2020,2,Jamil Ahmad,Pakistan Peoples Party,6764,,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2020,3,Hafiz Hafeezur Rehman,Pakistan Muslim League (N),5820,,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
GBA-2,2020,4,Nasir Mir,Pakistan Muslim League (Q),1540,,False,https://en.wikipedia.org/wiki/GBA-2_Gilgit-II,cached
