district,total_voters_2026,female_voters_2026,male_voters_2026,source
Gilgit,128541,60410,68131,Vision Gilgit Baltistan
Nagar,37292,18145,19147,Vision Gilgit Baltistan
Hunza,40741,20484,20257,Vision Gilgit Baltistan
Ghizer,121135,57973,63162,Vision Gilgit Baltistan
Skardu,104534,49760,54774,Vision Gilgit Baltistan
Shigar,40111,19022,21089,Vision Gilgit Baltistan
Kharmang,34500,16732,17768,Vision Gilgit Baltistan
Ghanche,75118,37185,37933,Vision Gilgit Baltistan
Astore,59582,28758,30824,Vision Gilgit Baltistan
Diamer,132765,65526,67239,Vision Gilgit Baltistan
